"names=['ram','sam','tom']; print(names.index('sam'))","<english> Tells you where ‘sam’ is in the list. GPS mode."
"s='banana'; print(s.count('a'))","<english> Counts how many times ‘a’ appears. Banana analysis bro."
"s='hello'; print(s.replace('l','x'))","<english> Changes all l’s to x’s. Funny mutation bro."
"nums=[1,2,3]; print(list(reversed(nums)))","<english> Makes a reversed copy of the list. No changes to the original."
"def shout(msg): return msg.upper()+'!!!'","<english> Converts message to loud energetic text. Hype mode bro."
"import math; print(math.pow(2,3))","<english> Raises 2 to the power of 3. Basically 8 bro."
"def f(a,b=10): return a+b","<english> If you don’t give b, it uses 10. Default bro setting."
"import statistics; print(statistics.mean([1,2,3]))","<english> Finds the mean using statistics module. Pro-level clean."
"a=[1,2,3]; b=[4,5]; print(a+b)","<english> Combines two lists. Friendship merge bro."
"print(list(range(0,21,5)))","<english> Makes a list of numbers jumping by 5. Like 0,5,10…"
"x=5; print(x>3 and x<10)","<english> Checks if 5 is between 3 and 10. Obviously yes bro."
"x=5; print(x==5 or x==6)","<english> True if x is 5 or 6. Logical OR bro."
"def first_char(s): return s[0] if s else None","<english> Returns first letter safely. No crash even if empty."
"for i in range(1,11): print(i%3)","<english> Prints remainder when dividing by 3. Pattern spotting bro."
"nums=[1,2,3]; print([n+1 for n in nums])","<english> Makes a list where every number is increased by 1. Glow-up mode."
"for i in range(3): print('bro')","<english> Prints bro three times. Bro overdose."
"code","explanation"
"for i in range(5): print(i*i*i)","<english> Bro this prints cubes of numbers 0 to 4. Full power math mode."
"def diff(a,b): return a-b","<english> Subtracts b from a. Straight and simple bro."
"names=['anu','ram','dev']; print([n.title() for n in names])","<english> Makes the first letter capital in every name. Polite version bro."
"x='apple'; print(x.startswith('a'))","<english> Checks if the string starts with 'a'. True bro."
"x='apple'; print(x.endswith('e'))","<english> Checks if it ends with ‘e’. Ending check bro."
"nums=[10,20,30]; print([n/10 for n in nums])","<english> Divides each number by 10. Mini scale-down bro."
"def vibe(): print('coding is fun bro')","<english> Prints a fun vibe line. Energy booster."
"for i in range(3):\n    for j in range(3):\n        print(i+j)","<english> Prints i+j for all pairs. Cute math grid bro."
"x=[1,2,3]; y=[n*n for n in x]","<english> Makes a square list from x. Clone but stronger."
"s='  hi  '; print(s.strip())","<english> Removes extra spaces from both sides. Clean-up time."
"nums=[3,1,2]; nums.sort(reverse=False)","<english> Sorts from smallest to biggest. Default bro order."
"nums=[3,1,2]; nums.sort(reverse=True)","<english> Sorts biggest to smallest. Boss mode."
"def safe_get(d,k): return d.get(k,'no value')","<english> Gets value if exists, else returns 'no value'. Safe lookup bro."
"x=[1,2,3,4]; print(x[::2])","<english> Takes every second element only. Alternate pick bro."
"s='mississippi'; print(s.count('s'))","<english> Counts all 's' letters. Detective mode bro."
"arr=[1,2,3]; arr.clear()","<english> Deletes everything inside the list. Fresh start bro."
"nums=[5,2,8]; print(sorted(nums))","<english> Makes a sorted copy without touching the original. Respectful bro."
"for i in range(1,4): print('*'*i)","<english> Prints a baby pyramid with stars. Decoration bro."
"x='hello'; print(x[1:4])","<english> Cuts out letters from index 1 to 3. Slice of life bro."
"for i in range(1,11): print(i%2==0)","<english> Prints True for even numbers. Even detective."
"def mute(s): return s.lower()","<english> Turns your text into calm lowercase. Chill mode."
"import math; print(math.ceil(2.1))","<english> Rounds up to next integer. Level-up number bro."
"import math; print(math.floor(2.9))","<english> Rounds down. Full control bro."
"x=[2,4,6]; print(all(n%2==0 for n in x))","<english> Checks if all numbers are even. Team even bro."
"x=[1,2,3]; print(any(n==2 for n in x))","<english> True if at least one element is 2. At least one homie present."
"names=['a','b']; print(len(names))","<english> Tells how many names are in the list. Simple count bro."
"def sum_digits(n): return sum(int(d) for d in str(n))","<english> Adds all digits of the number. Digit maths bro."
"x=[1,2,3]; print(x*3)","<english> Repeats the list three times. Triple pack."
"def last_item(lst): return lst[-1]","<english> Gives the last element. Final boss value."
"s='abca'; print(s.find('b'))","<english> Finds first location of ‘b’. Search and locate bro."
"nums=[1,3,5,7]; print(5 in nums)","<english> Checks if 5 exists in list. VIP entry check."
"def reverse_words(s): return ' '.join(s.split()[::-1])","<english> Reverses the order of words. Sentence flip bro."
"x=[1,2,3,4]; print([n for n in x if n>2])","<english> Takes only numbers greater than 2. Filter mode bro."
"for i in range(3): print(i==1)","<english> True only when i is 1. Identity check bro."
"s='hello'; print(list(s))","<english> Turns string into list of characters. Break into pieces bro."
"nums=[1,2,3]; print([str(n) for n in nums])","<english> Converts all numbers into text. Textify bro."
"def mult(a,b): return a*b","<english> Multiplies the two values. Muscle function."
"import random; print(random.choice(['yes','no']))","<english> Picks a random answer. Fate decides bro."
"x=[3,3,2,1]; print(set(x))","<english> Converts to set, removing duplicates. Clean unique list bro."
"list1=[1,2]; list2=[3,4]; print([*list1,*list2])","<english> Expands two lists into one using * operator. Fancy merge bro."
"code","explanation"
"for i in range(5): print(i if i%2==0 else 'odd')","<english> Bro this prints the number if it's even, otherwise prints 'odd'. Smart switch bro."
"def triple(n): return n*3","<english> Multiplies the number by 3. Triple booster bro."
"s='hello world'; print(s.title())","<english> Makes Every Word Start With A Capital Letter. Fancy English bro."
"x=[1,2,3]; print(sum(x))","<english> Adds everything in the list and gives total. Quick math bro."
"a={1,2,3}; b={3,4,5}; print(a&b)","<english> Intersection — shows common elements. Mutual friends list bro."
"a={1,2,3}; b={3,4,5}; print(a|b)","<english> Union — everything combined. Full group bro."
"a={1,2,3}; b={3,4,5}; print(a-b)","<english> Shows elements only in a but not in b. Solo members bro."
"x=[9,8,7]; print(min(x), max(x))","<english> Prints smallest and biggest. Quick stat bro."
"nums=[1,2,3]; print(tuple(nums))","<english> Converts list into tuple. Lock the values bro."
"t=(1,2,3); print(list(t))","<english> Converts tuple back to list. Freedom mode bro."
"x=[1,2,3]; print(x.__len__())","<english> Same as len(x) but fancier. Hidden flex bro."
"for i in range(1,11): print('even' if i%2==0 else 'odd')","<english> Prints even/odd for numbers 1 to 10. Full classification bro."
"s='python'; print(s[::3])","<english> Skips 3 characters each time. Stylish slicing bro."
"names=['ram','sam']; names2=names.copy()","<english> Makes a proper copy so changes won't affect original. Safe clone bro."
"def hi(): return None","<english> Function that returns nothing. Silent exit bro."
"x=['a','b','c']; print('-'.join(x))","<english> Joins with dashes → a-b-c. Clean formatting bro."
"nums=[1,2,3]; print([n*10 for n in nums])","<english> Gives each number a 10x upgrade. Glow up bro."
"s='hello'; print(s.swapcase())","<english> Flips case: lower→UPPER, upper→lower. Mood swing bro."
"import math; print(math.factorial(5))","<english> Gives factorial of 5. Big number generator bro."
"def biggest(lst): return max(lst)","<english> Finds the biggest item. Boss finder bro."
"x=[1,2,3]; y=[4,5]; print(x+y)","<english> Joins two lists together. Squad merge bro."
"def avg(lst): return sum(lst)/len(lst)","<english> Computes average. Chill math bro."
"x=[1,2,3,4]; print(x[::-1])","<english> Reverses the whole list. Backflip bro."
"nums=[4,1,3]; nums.sort(); print(nums)","<english> Sorts the list in-place. Home renovation bro."
"nums=[1,2,3]; print([n for n in nums if n!=2])","<english> Removes 2 by filtering. Custom clean-up bro."
"x=[1,2,3,4]; print([i for i in x if i%2])","<english> Picks all odd numbers. Odd squad bro."
"a,b=5,10; a,b=b,a","<english> Swaps values without temp variable. Ninja swap bro."
"for i in range(3): print(['hi','bye'][i%2])","<english> Alternates hi and bye. Mood switch bro."
"s='hello'; print(s.index('l'))","<english> First location of l. Search and find bro."
"x=[1,2,3]; print(x.count(2))","<english> Counts how many 2’s are inside. Quick tally bro."
"nums=[5,3,8]; print(sorted(nums)[0])","<english> Smallest element by sorting. Smart trick bro."
"for i in range(1,6): print('*'*(6-i))","<english> Inverted star pattern. Pyramid upside-down bro."
"def half(n): return n/2","<english> Cuts the number in half. Slice bro."
"s='banana'; print(s.replace('a','@'))","<english> Replaces 'a' with '@'. Hacker text bro."
"x=['a','b','c']; print(x[-2])","<english> Second last element. Close to the end bro."
"nums=[2,4,6,8]; print(all(n%2==0 for n in nums))","<english> Checks if all numbers are even. Team even confirmed bro."
"s='coding'; print(s*3)","<english> Repeats the word three times. Coding spam bro."
"for i in range(4): print(i==2)","<english> Only prints True when i is 2. Truth moment bro."
"def zero_fill(n): return str(n).zfill(5)","<english> Pads number with zeros on the left. Fancy formatting bro."
"nums=[1,2,3]; nums.insert(1,9)","<english> Drops 9 at index 1. Side entry bro."
"import random; print(random.random())","<english> Gives a random decimal between 0 and 1. Luck meter bro."
"code","explanation"
"for i in range(5): print(i if i%2==0 else 'odd')","<english> Bro this prints the number if it's even, otherwise prints 'odd'. Smart switch bro."
"def triple(n): return n*3","<english> Multiplies the number by 3. Triple booster bro."
"s='hello world'; print(s.title())","<english> Makes Every Word Start With A Capital Letter. Fancy English bro."
"x=[1,2,3]; print(sum(x))","<english> Adds everything in the list and gives total. Quick math bro."
"a={1,2,3}; b={3,4,5}; print(a&b)","<english> Intersection — shows common elements. Mutual friends list bro."
"a={1,2,3}; b={3,4,5}; print(a|b)","<english> Union — everything combined. Full group bro."
"a={1,2,3}; b={3,4,5}; print(a-b)","<english> Shows elements only in a but not in b. Solo members bro."
"x=[9,8,7]; print(min(x), max(x))","<english> Prints smallest and biggest. Quick stat bro."
"nums=[1,2,3]; print(tuple(nums))","<english> Converts list into tuple. Lock the values bro."
"t=(1,2,3); print(list(t))","<english> Converts tuple back to list. Freedom mode bro."
"x=[1,2,3]; print(x.__len__())","<english> Same as len(x) but fancier. Hidden flex bro."
"for i in range(1,11): print('even' if i%2==0 else 'odd')","<english> Prints even/odd for numbers 1 to 10. Full classification bro."
"s='python'; print(s[::3])","<english> Skips 3 characters each time. Stylish slicing bro."
"names=['ram','sam']; names2=names.copy()","<english> Makes a proper copy so changes won't affect original. Safe clone bro."
"def hi(): return None","<english> Function that returns nothing. Silent exit bro."
"x=['a','b','c']; print('-'.join(x))","<english> Joins with dashes → a-b-c. Clean formatting bro."
"nums=[1,2,3]; print([n*10 for n in nums])","<english> Gives each number a 10x upgrade. Glow up bro."
"s='hello'; print(s.swapcase())","<english> Flips case: lower→UPPER, upper→lower. Mood swing bro."
"import math; print(math.factorial(5))","<english> Gives factorial of 5. Big number generator bro."
"def biggest(lst): return max(lst)","<english> Finds the biggest item. Boss finder bro."
"x=[1,2,3]; y=[4,5]; print(x+y)","<english> Joins two lists together. Squad merge bro."
"def avg(lst): return sum(lst)/len(lst)","<english> Computes average. Chill math bro."
"x=[1,2,3,4]; print(x[::-1])","<english> Reverses the whole list. Backflip bro."
"nums=[4,1,3]; nums.sort(); print(nums)","<english> Sorts the list in-place. Home renovation bro."
"nums=[1,2,3]; print([n for n in nums if n!=2])","<english> Removes 2 by filtering. Custom clean-up bro."
"x=[1,2,3,4]; print([i for i in x if i%2])","<english> Picks all odd numbers. Odd squad bro."
"a,b=5,10; a,b=b,a","<english> Swaps values without temp variable. Ninja swap bro."
"for i in range(3): print(['hi','bye'][i%2])","<english> Alternates hi and bye. Mood switch bro."
"s='hello'; print(s.index('l'))","<english> First location of l. Search and find bro."
"x=[1,2,3]; print(x.count(2))","<english> Counts how many 2’s are inside. Quick tally bro."
"nums=[5,3,8]; print(sorted(nums)[0])","<english> Smallest element by sorting. Smart trick bro."
"for i in range(1,6): print('*'*(6-i))","<english> Inverted star pattern. Pyramid upside-down bro."
"def half(n): return n/2","<english> Cuts the number in half. Slice bro."
"s='banana'; print(s.replace('a','@'))","<english> Replaces 'a' with '@'. Hacker text bro."
"x=['a','b','c']; print(x[-2])","<english> Second last element. Close to the end bro."
"nums=[2,4,6,8]; print(all(n%2==0 for n in nums))","<english> Checks if all numbers are even. Team even confirmed bro."
"s='coding'; print(s*3)","<english> Repeats the word three times. Coding spam bro."
"for i in range(4): print(i==2)","<english> Only prints True when i is 2. Truth moment bro."
"def zero_fill(n): return str(n).zfill(5)","<english> Pads number with zeros on the left. Fancy formatting bro."
"nums=[1,2,3]; nums.insert(1,9)","<english> Drops 9 at index 1. Side entry bro."
"import random; print(random.random())","<english> Gives a random decimal between 0 and 1. Luck meter bro."
"code","explanation"
"for i in range(5): print(i if i%2==0 else 'odd')","<english> Bro this prints the number if it's even, otherwise prints 'odd'. Smart switch bro."
"def triple(n): return n*3","<english> Multiplies the number by 3. Triple booster bro."
"s='hello world'; print(s.title())","<english> Makes Every Word Start With A Capital Letter. Fancy English bro."
"x=[1,2,3]; print(sum(x))","<english> Adds everything in the list and gives total. Quick math bro."
"a={1,2,3}; b={3,4,5}; print(a&b)","<english> Intersection — shows common elements. Mutual friends list bro."
"a={1,2,3}; b={3,4,5}; print(a|b)","<english> Union — everything combined. Full group bro."
"a={1,2,3}; b={3,4,5}; print(a-b)","<english> Shows elements only in a but not in b. Solo members bro."
"x=[9,8,7]; print(min(x), max(x))","<english> Prints smallest and biggest. Quick stat bro."
"nums=[1,2,3]; print(tuple(nums))","<english> Converts list into tuple. Lock the values bro."
"t=(1,2,3); print(list(t))","<english> Converts tuple back to list. Freedom mode bro."
"x=[1,2,3]; print(x.__len__())","<english> Same as len(x) but fancier. Hidden flex bro."
"for i in range(1,11): print('even' if i%2==0 else 'odd')","<english> Prints even/odd for numbers 1 to 10. Full classification bro."
"s='python'; print(s[::3])","<english> Skips 3 characters each time. Stylish slicing bro."
"names=['ram','sam']; names2=names.copy()","<english> Makes a proper copy so changes won't affect original. Safe clone bro."
"def hi(): return None","<english> Function that returns nothing. Silent exit bro."
"x=['a','b','c']; print('-'.join(x))","<english> Joins with dashes → a-b-c. Clean formatting bro."
"nums=[1,2,3]; print([n*10 for n in nums])","<english> Gives each number a 10x upgrade. Glow up bro."
"s='hello'; print(s.swapcase())","<english> Flips case: lower→UPPER, upper→lower. Mood swing bro."
"import math; print(math.factorial(5))","<english> Gives factorial of 5. Big number generator bro."
"def biggest(lst): return max(lst)","<english> Finds the biggest item. Boss finder bro."
"x=[1,2,3]; y=[4,5]; print(x+y)","<english> Joins two lists together. Squad merge bro."
"def avg(lst): return sum(lst)/len(lst)","<english> Computes average. Chill math bro."
"x=[1,2,3,4]; print(x[::-1])","<english> Reverses the whole list. Backflip bro."
"nums=[4,1,3]; nums.sort(); print(nums)","<english> Sorts the list in-place. Home renovation bro."
"nums=[1,2,3]; print([n for n in nums if n!=2])","<english> Removes 2 by filtering. Custom clean-up bro."
"x=[1,2,3,4]; print([i for i in x if i%2])","<english> Picks all odd numbers. Odd squad bro."
"a,b=5,10; a,b=b,a","<english> Swaps values without temp variable. Ninja swap bro."
"for i in range(3): print(['hi','bye'][i%2])","<english> Alternates hi and bye. Mood switch bro."
"s='hello'; print(s.index('l'))","<english> First location of l. Search and find bro."
"x=[1,2,3]; print(x.count(2))","<english> Counts how many 2’s are inside. Quick tally bro."
"nums=[5,3,8]; print(sorted(nums)[0])","<english> Smallest element by sorting. Smart trick bro."
"for i in range(1,6): print('*'*(6-i))","<english> Inverted star pattern. Pyramid upside-down bro."
"def half(n): return n/2","<english> Cuts the number in half. Slice bro."
"s='banana'; print(s.replace('a','@'))","<english> Replaces 'a' with '@'. Hacker text bro."
"x=['a','b','c']; print(x[-2])","<english> Second last element. Close to the end bro."
"nums=[2,4,6,8]; print(all(n%2==0 for n in nums))","<english> Checks if all numbers are even. Team even confirmed bro."
"s='coding'; print(s*3)","<english> Repeats the word three times. Coding spam bro."
"for i in range(4): print(i==2)","<english> Only prints True when i is 2. Truth moment bro."
"def zero_fill(n): return str(n).zfill(5)","<english> Pads number with zeros on the left. Fancy formatting bro."
"nums=[1,2,3]; nums.insert(1,9)","<english> Drops 9 at index 1. Side entry bro."
"import random; print(random.random())","<english> Gives a random decimal between 0 and 1. Luck meter bro."
"code","explanation"
"for i in range(5): print(i if i%2==0 else 'odd')","<english> Bro this prints the number if it's even, otherwise prints 'odd'. Smart switch bro."
"def triple(n): return n*3","<english> Multiplies the number by 3. Triple booster bro."
"s='hello world'; print(s.title())","<english> Makes Every Word Start With A Capital Letter. Fancy English bro."
"x=[1,2,3]; print(sum(x))","<english> Adds everything in the list and gives total. Quick math bro."
"a={1,2,3}; b={3,4,5}; print(a&b)","<english> Intersection — shows common elements. Mutual friends list bro."
"a={1,2,3}; b={3,4,5}; print(a|b)","<english> Union — everything combined. Full group bro."
"a={1,2,3}; b={3,4,5}; print(a-b)","<english> Shows elements only in a but not in b. Solo members bro."
"x=[9,8,7]; print(min(x), max(x))","<english> Prints smallest and biggest. Quick stat bro."
"nums=[1,2,3]; print(tuple(nums))","<english> Converts list into tuple. Lock the values bro."
"t=(1,2,3); print(list(t))","<english> Converts tuple back to list. Freedom mode bro."
"x=[1,2,3]; print(x.__len__())","<english> Same as len(x) but fancier. Hidden flex bro."
"for i in range(1,11): print('even' if i%2==0 else 'odd')","<english> Prints even/odd for numbers 1 to 10. Full classification bro."
"s='python'; print(s[::3])","<english> Skips 3 characters each time. Stylish slicing bro."
"names=['ram','sam']; names2=names.copy()","<english> Makes a proper copy so changes won't affect original. Safe clone bro."
"def hi(): return None","<english> Function that returns nothing. Silent exit bro."
"x=['a','b','c']; print('-'.join(x))","<english> Joins with dashes → a-b-c. Clean formatting bro."
"nums=[1,2,3]; print([n*10 for n in nums])","<english> Gives each number a 10x upgrade. Glow up bro."
"s='hello'; print(s.swapcase())","<english> Flips case: lower→UPPER, upper→lower. Mood swing bro."
"import math; print(math.factorial(5))","<english> Gives factorial of 5. Big number generator bro."
"def biggest(lst): return max(lst)","<english> Finds the biggest item. Boss finder bro."
"x=[1,2,3]; y=[4,5]; print(x+y)","<english> Joins two lists together. Squad merge bro."
"def avg(lst): return sum(lst)/len(lst)","<english> Computes average. Chill math bro."
"x=[1,2,3,4]; print(x[::-1])","<english> Reverses the whole list. Backflip bro."
"nums=[4,1,3]; nums.sort(); print(nums)","<english> Sorts the list in-place. Home renovation bro."
"nums=[1,2,3]; print([n for n in nums if n!=2])","<english> Removes 2 by filtering. Custom clean-up bro."
"x=[1,2,3,4]; print([i for i in x if i%2])","<english> Picks all odd numbers. Odd squad bro."
"a,b=5,10; a,b=b,a","<english> Swaps values without temp variable. Ninja swap bro."
"for i in range(3): print(['hi','bye'][i%2])","<english> Alternates hi and bye. Mood switch bro."
"s='hello'; print(s.index('l'))","<english> First location of l. Search and find bro."
"x=[1,2,3]; print(x.count(2))","<english> Counts how many 2’s are inside. Quick tally bro."
"nums=[5,3,8]; print(sorted(nums)[0])","<english> Smallest element by sorting. Smart trick bro."
"for i in range(1,6): print('*'*(6-i))","<english> Inverted star pattern. Pyramid upside-down bro."
"def half(n): return n/2","<english> Cuts the number in half. Slice bro."
"s='banana'; print(s.replace('a','@'))","<english> Replaces 'a' with '@'. Hacker text bro."
"x=['a','b','c']; print(x[-2])","<english> Second last element. Close to the end bro."
"nums=[2,4,6,8]; print(all(n%2==0 for n in nums))","<english> Checks if all numbers are even. Team even confirmed bro."
"s='coding'; print(s*3)","<english> Repeats the word three times. Coding spam bro."
"for i in range(4): print(i==2)","<english> Only prints True when i is 2. Truth moment bro."
"def zero_fill(n): return str(n).zfill(5)","<english> Pads number with zeros on the left. Fancy formatting bro."
"nums=[1,2,3]; nums.insert(1,9)","<english> Drops 9 at index 1. Side entry bro."
"import random; print(random.random())","<english> Gives a random decimal between 0 and 1. Luck meter bro."
"code","explanation"
"for i in range(5): print(i if i%2==0 else 'odd')","<english> Bro this prints the number if it's even, otherwise prints 'odd'. Smart switch bro."
"def triple(n): return n*3","<english> Multiplies the number by 3. Triple booster bro."
"s='hello world'; print(s.title())","<english> Makes Every Word Start With A Capital Letter. Fancy English bro."
"x=[1,2,3]; print(sum(x))","<english> Adds everything in the list and gives total. Quick math bro."
"a={1,2,3}; b={3,4,5}; print(a&b)","<english> Intersection — shows common elements. Mutual friends list bro."
"a={1,2,3}; b={3,4,5}; print(a|b)","<english> Union — everything combined. Full group bro."
"a={1,2,3}; b={3,4,5}; print(a-b)","<english> Shows elements only in a but not in b. Solo members bro."
"x=[9,8,7]; print(min(x), max(x))","<english> Prints smallest and biggest. Quick stat bro."
"nums=[1,2,3]; print(tuple(nums))","<english> Converts list into tuple. Lock the values bro."
"t=(1,2,3); print(list(t))","<english> Converts tuple back to list. Freedom mode bro."
"x=[1,2,3]; print(x.__len__())","<english> Same as len(x) but fancier. Hidden flex bro."
"for i in range(1,11): print('even' if i%2==0 else 'odd')","<english> Prints even/odd for numbers 1 to 10. Full classification bro."
"s='python'; print(s[::3])","<english> Skips 3 characters each time. Stylish slicing bro."
"names=['ram','sam']; names2=names.copy()","<english> Makes a proper copy so changes won't affect original. Safe clone bro."
"def hi(): return None","<english> Function that returns nothing. Silent exit bro."
"x=['a','b','c']; print('-'.join(x))","<english> Joins with dashes → a-b-c. Clean formatting bro."
"nums=[1,2,3]; print([n*10 for n in nums])","<english> Gives each number a 10x upgrade. Glow up bro."
"s='hello'; print(s.swapcase())","<english> Flips case: lower→UPPER, upper→lower. Mood swing bro."
"import math; print(math.factorial(5))","<english> Gives factorial of 5. Big number generator bro."
"def biggest(lst): return max(lst)","<english> Finds the biggest item. Boss finder bro."
"x=[1,2,3]; y=[4,5]; print(x+y)","<english> Joins two lists together. Squad merge bro."
"def avg(lst): return sum(lst)/len(lst)","<english> Computes average. Chill math bro."
"x=[1,2,3,4]; print(x[::-1])","<english> Reverses the whole list. Backflip bro."
"nums=[4,1,3]; nums.sort(); print(nums)","<english> Sorts the list in-place. Home renovation bro."
"nums=[1,2,3]; print([n for n in nums if n!=2])","<english> Removes 2 by filtering. Custom clean-up bro."
"x=[1,2,3,4]; print([i for i in x if i%2])","<english> Picks all odd numbers. Odd squad bro."
"a,b=5,10; a,b=b,a","<english> Swaps values without temp variable. Ninja swap bro."
"for i in range(3): print(['hi','bye'][i%2])","<english> Alternates hi and bye. Mood switch bro."
"s='hello'; print(s.index('l'))","<english> First location of l. Search and find bro."
"x=[1,2,3]; print(x.count(2))","<english> Counts how many 2’s are inside. Quick tally bro."
"nums=[5,3,8]; print(sorted(nums)[0])","<english> Smallest element by sorting. Smart trick bro."
"for i in range(1,6): print('*'*(6-i))","<english> Inverted star pattern. Pyramid upside-down bro."
"def half(n): return n/2","<english> Cuts the number in half. Slice bro."
